Id ; Genre ; Neuf ; Surface ; Pieces ; Quartier ; Prix
annonce-136565861-506044 ; Appartement ; 0; 68.0; 3 ; nord ; 140700
annonce-135510635-507190 ; Appartement ; 0; 50.67; 2 ; prébendes ; 140700
annonce-140486651-217360 ; Appartement ; 0; 55.0; 2 ; velpeau ; 141000
annonce-139474689-480635 ; Appartement ; 0; 63.0; 3 ; NaN ; 141000
annonce-140213721-544989 ; Appartement ; 0; 85.0; 4 ; cher ; 142000
annonce-140766645-544989 ; Appartement ; 0; 84.0; 4 ; cher ; 142000
annonce-135398367-629422 ; Appartement ; 0; 59.0; 3 ; sud ; 144500
annonce-139591473-826473 ; Appartement ; 0; 78.0; 3 ; NaN ; 145000
annonce-131896451-511781 ; Appartement ; 0; 59.0; 3 ; centre ; 145350
annonce-140690101-507190 ; Appartement ; 0; 48.87; 2 ; prébendes ; 145950
annonce-140398235-564075 ; Appartement ; 0; 45.0; 2 ; NaN ; 146000
annonce-133221947-216502 ; Appartement ; 0; 45.05; 2 ; nord ; 146400
annonce-134930183-217354 ; Appartement ; 0; 45.0; 2 ; tranchée ; 146400
annonce-126960603-292528 ; Appartement ; 0; 40.0; 2 ; gare ; 146475
annonce-124343737-292528 ; Appartement ; 0; 72.0; 3 ; centre ; 146475
annonce-139974301-793106 ; Appartement ; 0; 61.0; 3 ; NaN ; 147400
annonce-140914439-710582 ; Appartement ; 0; 65.0; 3 ; NaN ; 148000
annonce-132968987-506044 ; Appartement ; 0; 63.2; 3 ; sud ; 148087
annonce-140880007-456181 ; Appartement ; 0; 39.0; 2 ; prébendes ; 148990
annonce-134684265-543953 ; Maison ; 0; 62.0; 4 ; NaN ; 149000
annonce-140753153-818232 ; Appartement ; 0; 78.0; 4 ; NaN ; 149000
annonce-134594541-295097 ; Appartement ; 0; 60.29; 3 ; NaN ; 149100
annonce-141424579-216502 ; Appartement ; 0; 75.51; 5 ; NaN ; 150000
annonce-137011081-511781 ; Appartement ; 0; 76.46; 4 ; centre ; 150600
annonce-139088435-810919 ; Appartement ; 0; 59.0; 3 ; NaN ; 152000
annonce-136415229-67784 ; Appartement ; 0; 77.06; 3 ; halles ; 153500
annonce-131318581-818232 ; Appartement ; 0; 100.0; 5 ; sud ; 154900
annonce-140123515-576272 ; Appartement ; 0; 52.0; 3 ; NaN ; 159200
annonce-138618891-629422 ; Appartement ; 0; 65.0; 3 ; NaN ; 159900
annonce-129700085-511781 ; Appartement ; 0; 97.1; 5 ; NaN ; 160000
annonce-140379541-215161 ; Appartement ; 0; 45.0; 2 ; NaN ; 160500
annonce-140713889-217360 ; Appartement ; 0; 77.92; 4 ; centre ; 161300
annonce-128237055-190880 ; Appartement ; 0; 34.18; 2 ; NaN ; 162000
annonce-129089955-216502 ; Appartement ; 0; 62.0; 3 ; NaN ; 162000
annonce-140072205-190880 ; Appartement ; 0; 64.54; 3 ; paul bert ; 162000
annonce-136666395-217354 ; Appartement ; 0; 65.0; 3 ; paul bert ; 162000
annonce-141185063-686185 ; Appartement ; 0; 56.26; 3 ; prébendes ; 162800
annonce-139456423-843920 ; Appartement ; 0; 99.0; 4 ; nord ; 165000
annonce-140690525-305871 ; Appartement ; 0; 79.24; 4 ; nord ; 165240
annonce-129519667-748028 ; Maison ; 0; 70.0; 3 ; nord ; 166000
annonce-140879051-686185 ; Appartement ; 0; 68.5; 3 ; radegonde ; 166500
annonce-141159629-546915 ; Appartement ; 0; 90.0; 4 ; NaN ; 167500
annonce-138968953-730884 ; Maison ; 0; 64.0; 3 ; NaN ; 168900
annonce-140345451-804332 ; Appartement ; 0; 58.0; 3 ; centre ; 169000
annonce-139203431-670022 ; Maison ; 0; 110.0; 5 ; centre ; 170000
annonce-139078641-794822 ; Appartement ; 0; 97.0; 4 ; NaN ; 170600
annonce-133983329-215161 ; Appartement ; 0; 66.0; 3 ; NaN ; 171200
annonce-137436251-794822 ; Maison ; 0; 71.0; 4 ; NaN ; 177600
annonce-140901599-618315 ; Appartement ; 0; 61.0; 3 ; NaN ; 178000
annonce-135248591-190880 ; Appartement ; 0; 75.0; 4 ; cher ; 178200
annonce-135956375-710582 ; Appartement ; 0; 103.0; 4 ; NaN ; 178750
annonce-139926373-215161 ; Appartement ; 0; 60.0; 3 ; NaN ; 179760
annonce-140767375-768848 ; Appartement ; 0; 70.0; 3 ; NaN ; 181000
annonce-139906235-545405 ; Appartement ; 0; 63.0; 3 ; cher ; 182000
annonce-140998025-793106 ; Appartement ; 0; 54.0; 2 ; halles ; 183400
annonce-140345443-793106 ; Appartement ; 0; 93.0; 5 ; NaN ; 183500
annonce-140406151-292528 ; Appartement ; 0; 71.0; 2 ; cher ; 184000
annonce-141240139-295097 ; Appartement ; 0; 64.0; 3 ; halles ; 184245
annonce-137518099-830702 ; Appartement ; 0; 69.0; 3 ; NaN ; 185500
annonce-139567871-190880 ; Appartement ; 0; 67.35; 3 ; NaN ; 186000
annonce-138339593-292528 ; Appartement ; 0; 62.0; 3 ; centre ; 187250
annonce-127142495-493099 ; Appartement ; 0; 61.0; 3 ; nord ; 188000
annonce-140534863-629422 ; Maison ; 0; 90.0; 4 ; nord ; 188000
annonce-127867813-718355 ; Appartement ; 0; 63.0; 3 ; nord ; 190000
annonce-139495467-686187 ; Appartement ; 0; 107.0; 4 ; centre ; 191500
annonce-139793907-839881 ; Appartement ; 0; 92.0; 4 ; velpeau ; 191700
annonce-137331063-511781 ; Appartement ; 0; 64.0; 2 ; NaN ; 192600
annonce-140795001-714938 ; Appartement ; 0; 62.0; 3 ; NaN ; 195000
annonce-127666165-231072 ; Appartement ; 0; 98.6; 4 ; NaN ; 199000
annonce-125692999-564075 ; Appartement ; 0; 102.0; 5 ; velpeau ; 199000
annonce-139615259-596787 ; Appartement ; 0; 73.0; 3 ; cher ; 199500
annonce-139793903-839881 ; Appartement ; 0; 61.0; 3 ; NaN ; 199688
annonce-124687753-305871 ; Appartement ; 0; 64.0; 3 ; 2 lions ; 199800
annonce-139557921-510027 ; Maison ; 0; 67.0; 4 ; NaN ; 210000
annonce-140225823-759821 ; Appartement ; 0; 82.0; 4 ; nord ; 210000
annonce-141527087-843923 ; Appartement ; 0; 110.0; 6 ; centre ; 211000
annonce-140455317-215161 ; Appartement ; 0; 82.0; 5 ; NaN ; 213000
annonce-138339595-292528 ; Appartement ; 0; 76.0; 4 ; centre ; 214000
annonce-140535487-216502 ; Appartement ; 0; 75.0; 4 ; NaN ; 214000
annonce-140424215-305871 ; Appartement ; 0; 73.19; 3 ; cathédrale ; 214000
annonce-140614527-685506 ; Appartement ; 0; 82.0; 4 ; NaN ; 215250
annonce-137639823-759829 ; Maison ; 0; 88.0; 4 ; NaN ; 217300
annonce-139456849-217354 ; Appartement ; 0; 79.0; 3 ; tranchée ; 219350
annonce-134048957-775560 ; Appartement ; 0; 100.0; 5 ; NaN ; 220000
annonce-132553745-190880 ; Appartement ; 0; 82.44; 3 ; NaN ; 224700
annonce-124687757-305871 ; Appartement ; 0; 74.0; 4 ; 2 lions ; 226000
annonce-139478775-498497 ; Appartement ; 0; 65.0; 3 ; portes ; 227000
annonce-134883497-629422 ; Maison ; 0; 91.0; 5 ; NaN ; 228500
annonce-137702761-712218 ; Appartement ; 0; 147.0; 6 ; cher ; 228975
annonce-141583437-775560 ; Maison ; 0; 120.0; 5 ; nord ; 229000
annonce-138338767-730884 ; Appartement ; 0; 67.0; 3 ; centre ; 231000
annonce-127838949-540594 ; Appartement ; 0; 95.13; 4 ; centre ; 233900
annonce-139078115-576272 ; Maison ; 0; 125.0; 6 ; cathédrale ; 234900
annonce-134930267-758012 ; Maison ; 0; 123.0; 6 ; NaN ; 235000
annonce-139972605-216502 ; Appartement ; 0; 73.0; 3 ; NaN ; 235400
